"Model validated on fold#
 vs 
Model validated on fold#",0,1,2,3,4,5,6,7,8,9,10,11,12,13,Mean
0 vs 1,0.6633722688699147,0.7347662867182121,0.7786417636630183,0.6310805977331002,0.6993466903835687,0.6532343598185851,0.3886545957312187,0.5961605654919367,0.4744396912461501,0.5651369032343428,0.6099009158790849,0.4898780051976709,0.534317737759944,0.6537735372794965,0.6051931370718746
0 vs 2,0.6760042519566387,0.7598627796996492,0.7782867856781434,0.6998871915121986,0.6822674943667628,0.6089794111377882,0.3693238514702365,0.6036525237626108,0.5021285955719121,0.6625097293843756,0.6216633716452205,0.4827285451340434,0.5270428295053939,0.5516349327340196,0.6089980209684995
0 vs 3,0.6879905586860007,0.7174814727600806,0.7913915380751655,0.7102588800391105,0.6482244319286757,0.6149648218586727,0.3455484020826459,0.5733972847629781,0.4985564762475863,0.5681323305624489,0.5863284460615251,0.4304769219514965,0.5339064253811938,0.5848406963642866,0.5922499061972762
0 vs 4,0.6899681169383317,0.7342905418870066,0.8071777899944792,0.6678726281477989,0.717061898206785,0.649596183776856,0.4076711963192252,0.6146316388645154,0.5425641849690847,0.6363418607314932,0.6632919181796705,0.5520714744160478,0.5913263685968314,0.6055663134370365,0.6342451510332258
1 vs 2,0.6406557140912175,0.6823535021207661,0.7598457393226534,0.6267858143984414,0.6771672146118127,0.5675503568850655,0.288262461480034,0.5730240135778817,0.459462086387457,0.5690671388729082,0.6675716495121287,0.4283690952145817,0.4474501718249087,0.4949706767113126,0.5630382596436551
1 vs 3,0.6736880314284668,0.6756028340236951,0.7695276067441315,0.6329207066493481,0.6297933426655787,0.5721943752181231,0.30295464711895753,0.5524036187912349,0.4841907152178192,0.5057108026672184,0.6195370450990695,0.3813947238000332,0.48417689670697295,0.5877778105558081,0.5622766540490327
1 vs 4,0.649372520911383,0.6863984303299187,0.7777042363832213,0.6469236113487562,0.6988652712169197,0.5888161763294976,0.3082171096456623,0.5968619192165573,0.5144311210061665,0.5680797709818821,0.6476415301938452,0.4684792352766619,0.5419831529645536,0.6026995807791325,0.5926052618988684
2 vs 3,0.6553080218457168,0.7209193324558549,0.7753411803851231,0.6630080377938806,0.6383629003538173,0.6277631610970914,0.301410166719481,0.5937428927235131,0.4938311296529188,0.5862531670193923,0.643728426061785,0.453137637072988,0.4891849243002372,0.6709652244373272,0.5937825858513663
2 vs 4,0.6946750567435295,0.7073827471066529,0.7843171227581761,0.6736578372550398,0.7014061885182038,0.6065752786382017,0.3608268858592171,0.5651482716288188,0.5097477619987419,0.663844683303744,0.7062737777529972,0.4802614506638314,0.5521590824381631,0.7744212114709293,0.6271926682954463
3 vs 4,0.6851473951735558,0.6859443351189406,0.8050333684369458,0.6933598917166336,0.6638767334365988,0.6011307601041306,0.32759219086084523,0.5794848510925074,0.5563783527220822,0.6237798018427732,0.6677751648523321,0.4375819902000304,0.5641898133637581,0.7196886877592485,0.6150688097628845
Mean,0.6716181936644755,0.7105002262220778,0.7827267131441056,0.6645755196594308,0.6756372165688723,0.6090804884864011,0.3400461507287523,0.5848507579912554,0.5035730115019919,0.5948856188600579,0.6433712245237658,0.4604379078927385,0.5265737402841957,0.6246338671528597,0.5994650454772128
